post_id,text,label
M.1744994973.A.244,"進度表 抓 現在 敢 跳出來 死 怎嚜 怕 寒蟬 效應 沒 聽 
 
 先 抓 政敵 政治 人物 組織 領導 敵國 相關 人士 陸配 
 
 抓 學者 作家 意見 領袖 
 
 以權謀私 抓 有錢人 
 
 最後 抓 網友 一般人 根本 不會 報 台灣人 終於 團結 太 棒 辣 愛 台灣 喔 台灣 價值 台灣 蘭趴 萬 

 
 種 抓 過程 流程 好像 精準 詞 


--",
M.1745033746.A.2D6,"懷孕 肚子 走 路 
 全 世界 知道 套 射 
 
 看到 想像 插入 
 想像 淫叫聲 
 想像 床 淫蕩 呻吟 
 想像 陰道 流出 精液 樣子 
 
 台女 覺得 羞恥 
 等於 宣告 全 世界 射 
 八卦 

--",
M.1745015630.A.B2D,"韓語   台語 客家話 一半     潮汕話 高度 相似 
 潮汕話 中國 方言 裡   接近 韓語 
 
 講 台語   後面 隨便 加 伊  司  xx SAY YO    幾乎 等於 講 韓語 
 韓國 現今 使用 語言 大約 七成 中文 演變 高度 保留 唐朝 中原 古音 
 韓文詞 聽起來 差 遠 　 　 其實 中文 演變 　 
 等一下 　 　 禪西滿優 　 滿優 語助詞 　 禪 西接 類似 中原 古音 暫時 
 
 北韓 語言 接近 台語     南韓 不少 變音 
 李   二     北韓 念  Li   南韓 發音 少掉  L 音 

 
 韓語 應該 保留 早期 交流 頻繁 唐朝 古音 ． 
 大約 古代 河南 洛陽人 使用 語言 
 閩南語 河洛話   韓文 相似 間接 證明 
 閩南語 一定 程度 接近 唐朝 首都 河南 洛陽 使用 語言 
 洛陽 現今 使用 方言 天差地遠 
 主要 應該 朝代 亡國 以後     東南 流竄 福建 南部 廣東省 
 位 網友 　 　 閔南 一帶 山區 　 較為 封閉 　 中原 古音 大幅度 保留 
 現今 中文 知道 清朝 使用 滿族語 　 接近 大多 中國 北方 方言 
 韓文 天差地遠 

--",
M.1745038485.A.8FE,"飯糰店 張姓 老闆娘 表示 租屋 契約 簽 3 現在 1 左右 房東 三月份 
 表達 希望 收回 店面 自行 經營 意願 女 房東 家 店 生意 能夠 
 房子 地點 努力 離開",
M.1744959472.A.525,"向來 氣象 新聞 正妹圖 
 
 剛剛 點進去 想要 正妹 
 
 圖 怪怪 故意 p圖",
M.1745030545.A.7DF,"韓文 中文 難 ? ???????????????? 
 李多慧 學 快 ????????????????? 
 
 韓國 兩 全 程 講 韓文 ? ??????????? 
 全 程 中文 
 
 ...

 聽說 韓文 日文 
 學會 日文 = 幾乎 學會 韓文 
 
 中文 似乎 比較 簡單 ?   比較 好學 
 
 中文 頂多 中文字 寫字 比較 難 
 口 根本 簡單 幾乎 沒 文法 

版 文組 
 
 解釋 韓國人 學習 中文 學習 速度 ...

 掛

--",
M.1744981778.A.A7A,"北  次 提案 會議 完全 搞砸 
 連續 天 沒 睡好   熬夜 改 簡報 提案書 
 同事 準備 完整   考績 肯定 棒 
 進 會議室   主管 刁難 
 簡報 沒 講完 打斷   方向 完全 行不通 
 最後 否決   努力 沒 
 
 本來 想 犒賞 買 台 ps5
 喜歡 遊戲 加入 購物車   算 算 快 15000 
 現在 看到 遊戲 廣告 想到 次 失敗 
 剛才 購物車 全 清空   想 玩 
 算了   心情 糟透   錢 問題 
 週 聚餐 取消   心情 
 

--",
M.1744969665.A.142,"沒 搞懂 山道猴 
 
 賽道 先 北部 車 送到 麗寶 
 賽道 前 檢查 噪音   超過 上限 不能 賽道 
 山道猴 愛 改 炸 街管 打槍 
 
 全 身 防摔衣 手套 鞋子 全罩帽 不能 少 
 防護 裝備 沒 穿 齊全 不能 上場 
 山道猴 馬 戴 四分之三 街 胚 
 肯 戴 全 罩 + 手套 稀有 
 
 最後 重點 
 山道猴 山道猴 山 找 交配 對象 ! ! ! 
 山 求偶 場所   拍 追焦照 砲哥 拍 美美 追焦照 
 照片 妹仔 交配 
 交配完 陣子 妹仔 騎 杜卡迪 正多金alpha男 走 之後 
 山胚車 壓 車 抒發 NTR 痛苦 之餘 順便 拍 追焦照 
 找 妹  完成 Life    cycle~ OH~ Amazing~

 賽車場 攝影   錢 
 山道 砲哥 拍 興趣 不會 收錢 
 遇到 稀有 女 追焦手 機會 停下來 虧 妹  根本 賺爛 
 
 講完 上面 串 窮 
 最少 錢 獲得 快樂 關注 
 真的 有錢 需要 山道 猴子 ...

--",
M.1745034980.A.C9D,演,
M.1744983826.A.F53,"覺得 現在 時代 時刻 
 
 從事 項目",
M.1745031607.A.C08,"餓死 抬頭 

1.  需要 拘票 搜索票 先 地檢署 泡茶 質疑 自願 配合 

2.  地檢署 之後 胡扯 A案 B案 混 在一起 問 

3.  問到 煩 問 累 出現 破綻 聲請 羈押 

4.  羈押 成功 連續 n 配合 媒體 潑屎 羈押 失敗 無限 抗告 不行 關 錄影 逼 
 供 

5. 最後 實在 找 證據 威脅 公開 硬碟 av 人社死 

6.
 有罪 判決 榮升 高檢署 高 檢察署 無罪 釋放 繼續 檢察官 物色 目標 


 問 筆 生意 穩 賺 賠 
 


 乾五 八卦 

--",
M.1745031594.A.B36,:,
M.1745005015.A.C4D,"看到 日本人 台灣 台北 東區 租金 太 高 倒 不少 現在 SOGO 收 今年 
 年底 閉關 
 
 台北 短短 條 街 好幾 家 百貨公司 真 懷疑 真 那麼多 人口 消費 東西 撐
 
 
 
 台中 新光三越 家 全 台 店王 開 家 台中 爆 沒 台北 高雄 
麼多 家 想 比較 賺 台中 家 
 
 台中 SOGO 打算 開 第二 家 政府 配合 造鎮 蠻 討厭 全 台灣 台北 市中 
心 地方 都會區 外 
 
 明顯 土地 便宜 建商 官員 有利可圖 市中心 蓋",
M.1745040428.A.F63,☺☺☺ 題 好奇 問 一下,
